time_value,geo_value,smoothed_wspent_time_1d,smoothed_wtested_14d,smoothed_wpublic_transit_1d,smoothed_wworried_become_ill,smoothed_wvaccine_likely_govt_health,smoothed_wshop_1d,smoothed_wtested_positive_14d,smoothed_wwork_outside_home_1d,smoothed_wothers_masked,smoothed_wcli,smoothed_wcovid_vaccinated,smoothed_wvaccine_likely_friends,smoothed_wrestaurant_1d,smoothed_wvaccine_likely_politicians,smoothed_wvaccine_likely_who,smoothed_wwearing_mask,smoothed_wlarge_event_1d
2021-01-07,29000,34.7733272,10.1884329,1.4710458,61.0093728,22.0591067,51.6031999,28.4760906,30.4696594,49.6224379,1.4958029,6.0393329,26.2283072,18.8126097,8.1199119,25.7823822,77.471133,12.5857938
2021-01-07,30000,36.6725805,9.4975893,1.9840064,59.2393334,25.8796537,54.4372684,18.0079999,31.1356826,57.7369217,1.689369,8.9424043,25.5632549,20.5003605,8.5702386,30.7731698,82.9262982,10.6177357
2021-01-07,31000,37.7910451,9.115719,1.7404024,60.5669435,26.8750892,49.9726308,21.4889494,38.0593187,62.057315,1.1377848,7.0001944,29.5188214,22.1116594,9.557417,30.8404358,78.3177631,13.8588245
2021-01-07,32003,25.3465258,14.1569501,2.8613774,69.6008119,34.0914794,49.5402079,26.42866,25.2568814,89.8392217,1.828278,5.2398598,34.8920677,14.982912,14.1246018,42.1372323,95.7091185,7.1155511
2021-01-07,33000,23.9615662,12.3677515,0.7818069,65.7920797,34.5326329,51.465002,18.8009598,28.6683849,87.4426388,0.9505839,5.1233123,31.9945072,13.1850425,16.3305772,37.7712695,94.4044974,6.6970519
2021-01-07,34000,25.2088846,14.7934597,1.7263891,68.6963431,32.8226713,52.8317221,18.4752968,25.6165949,88.5287046,0.3101978,3.0012154,36.49961,11.3488186,16.3232066,39.2059745,90.7847877,4.9682111
2021-01-07,34003,26.4337254,19.4766731,4.0505695,76.5703576,37.6925604,48.5204527,12.3057585,23.6318926,92.4375597,0.6473926,8.2384872,37.5066029,10.7456175,15.8713372,43.9145232,95.5179218,4.3963195
2021-01-07,34013,23.4219146,22.5409313,8.7597514,73.8651051,39.667964,44.6197011,11.8143163,26.0371753,94.2555134,1.0210052,4.5786148,37.9614512,6.5326802,16.041283,43.4129862,96.6727996,4.3924042
2021-01-07,34017,22.1533505,25.702931,11.2576051,76.746811,41.0501097,45.4857654,19.4261802,23.64832,92.9262885,0.6592655,3.3627437,43.5122774,10.1583278,18.2143569,48.6114259,97.9810408,2.0802075
2021-01-07,34023,28.2958668,19.5587595,2.231087,75.1101464,35.4386611,44.5477772,13.8064417,20.845091,91.7564262,0.8101477,4.3680847,39.0182432,9.3091055,13.0142056,39.7296253,93.7015191,4.0324963
2021-01-07,35000,30.256096,14.9922786,2.0405203,63.7924329,30.3141228,51.5575444,16.5480671,28.38934,80.3033326,1.5350171,6.796221,33.4397187,9.4094145,11.4976265,33.8106095,88.6967597,9.652545
2021-01-07,36000,30.5132344,12.4145095,1.3213493,68.8057252,28.9006547,50.1645434,17.1970512,27.5698987,88.7682572,1.0423481,6.3070285,28.0430144,10.674204,9.5378634,32.8911546,92.9149204,5.873225
2021-01-07,36005,16.1582734,22.5515367,21.9466988,71.0438369,39.3980599,45.447794,12.3132545,24.2558338,87.4184559,1.3244771,3.5788671,40.3908594,3.3376856,18.7395646,42.9821425,96.8840657,3.4269383
2021-01-07,36029,31.8872632,12.8141904,2.4394215,70.8041741,33.2748138,49.285528,12.1428964,26.2403928,92.3581842,1.0506312,5.7967857,28.7231654,6.7429469,10.6266287,37.36873,94.7148305,4.8855143
2021-01-07,36047,21.7098145,21.7731636,21.7916575,74.154411,34.5014057,43.922904,6.2059683,20.349431,87.2160099,0.707249,3.5066898,35.1930786,6.9463144,16.1867722,39.9529605,95.422626,3.4858854
2021-01-07,36055,28.2218791,13.6298149,2.2258577,72.9500077,33.5589584,48.1432577,15.6728065,25.9599146,93.4844625,0.7707338,6.8629895,33.3618742,9.328277,11.7315145,39.5800434,97.3400192,3.9451303
2021-01-07,36059,26.8697814,18.8171641,4.2745505,74.8215386,37.9292577,48.9774759,18.681237,21.796718,93.1809826,1.136184,7.0620732,41.283842,9.4177603,16.8348724,44.5045563,95.9064143,5.8857547
2021-01-07,36061,24.0193622,27.8553449,27.1844734,75.8025673,38.8726048,50.7642908,3.6752347,14.5586975,91.2955224,0.2772063,4.123819,36.3475235,8.842277,13.5392485,46.4229312,97.0142477,3.1107195
2021-01-07,36067,28.7095052,19.914247,0.9709621,75.8301062,39.4194931,49.7450729,15.6969198,26.2431738,93.9195965,1.1482072,8.4227062,34.4253503,8.3736535,14.3879116,46.6870538,96.6962559,2.6230166
2021-01-07,36081,18.5930372,20.7716487,21.484757,72.4985115,44.6455063,48.2637267,9.4005925,22.271476,91.0048584,1.290496,0.8910405,45.8559834,5.5122273,17.8849323,48.67374,98.3921297,2.5731502
2021-01-07,36103,22.5675869,20.8768834,1.9805864,77.6310936,29.5936956,44.5977838,30.2645682,23.5181049,92.3476049,2.3257897,4.8503556,32.4494267,8.0217665,12.6243146,37.3842979,96.1122978,2.8014009
2021-01-07,36119,23.4399572,20.1239526,5.1054562,73.3407259,36.3653076,45.1495154,14.2899846,20.6901675,93.4510171,1.1893841,7.4039774,37.8931678,7.985382,14.236349,43.0498684,97.1369031,3.4176449
2021-01-07,37000,32.2063062,13.5190466,2.1573456,65.9734659,26.4784187,53.3469311,21.1909961,28.2674669,71.1602616,1.366193,4.3209703,30.2949006,15.7697468,10.0970534,29.7751944,88.4198803,7.9623412
2021-01-07,37183,31.0242765,15.5658017,1.9456058,71.6009286,37.226771,49.9269031,9.9727571,25.667803,90.3991113,0.9694594,4.5652648,29.3363493,16.5988924,12.6438601,43.9153217,95.5042627,4.5891623
2021-01-07,38000,38.8755632,15.3590566,5.2376964,56.5959483,24.8259508,54.104499,11.2062232,38.7325154,64.4413126,0.5089059,14.1686873,30.3038174,25.1451304,9.4089348,29.7691174,81.1951216,15.7010649
2021-01-07,39000,34.1273891,10.4490138,1.9821207,64.6315438,22.3737977,51.2149238,28.7844321,31.1814236,76.4791503,1.3951317,4.9215091,25.4734125,17.6728469,8.6580361,25.5814853,88.0301582,9.8382519
2021-01-07,39035,29.3995448,11.6874554,2.9484951,67.1798701,30.5516692,46.4785193,27.270534,29.3846295,88.4607196,1.0234641,7.812479,32.1498811,13.3538721,11.609138,37.1742747,94.7674236,6.3877517
2021-01-07,39061,31.5089324,12.8980389,3.0356989,71.0548717,31.6766374,47.9384988,20.9238787,27.2927207,83.8313052,0.360422,4.0182761,27.5271836,15.6239688,10.5321527,38.6619594,94.4647953,7.5546785
2021-01-07,40000,33.6638885,12.7812476,2.3406234,64.5078899,23.8227529,50.784337,30.392287,31.8458221,46.1015857,2.3441629,9.1169306,29.6732443,18.8999317,7.6745364,26.3958962,80.7502555,12.5326497
2021-01-07,40109,31.6622184,12.2729698,2.1139681,73.7054803,29.5393583,51.4270411,21.4254827,30.8719362,75.6992904,1.4570757,3.7412746,31.4645079,16.6876039,12.2417774,37.3838327,93.6579412,7.9108314
2021-01-07,40143,32.1913344,13.0501885,2.4460992,70.0004232,27.7196506,48.391456,40.0063169,31.4585615,63.9497473,2.8235403,5.2484837,31.9825961,19.689798,11.0443112,35.8556342,87.9779033,9.842991
2021-01-07,41000,33.0053622,7.6128733,2.12764,67.7890587,24.2972246,54.3791981,13.5335642,27.833498,84.6824936,0.7627207,4.6881246,27.3166729,10.1211219,7.592404,30.3065451,90.393101,8.6843276
2021-01-07,42000,33.7050106,11.5637393,1.5506301,66.9825452,24.3607528,48.9811979,23.9702124,27.8453123,71.1434961,1.6328046,5.3618348,28.1127284,10.5489114,9.1409412,30.2993839,86.748384,9.5262503
